"Date","Source","Site ID","POC","Daily Max 1-hour NO2 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"03/17/2022","AQS","240050009","4","31.7","ppb","29","Baltimore County Near Road","22","92.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.371679","-76.746814"
"03/18/2022","AQS","240050009","4","22.2","ppb","21","Baltimore County Near Road","24","100.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.371679","-76.746814"
"03/19/2022","AQS","240050009","4","21.6","ppb","20","Baltimore County Near Road","24","100.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.371679","-76.746814"
"03/20/2022","AQS","240050009","4","13.3","ppb","12","Baltimore County Near Road","24","100.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.371679","-76.746814"
"03/21/2022","AQS","240050009","4","41.1","ppb","39","Baltimore County Near Road","24","100.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.371679","-76.746814"
"03/22/2022","AQS","240050009","4","38","ppb","36","Baltimore County Near Road","23","96.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.371679","-76.746814"
"03/23/2022","AQS","240050009","4","18.8","ppb","17","Baltimore County Near Road","24","100.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.371679","-76.746814"
"03/25/2022","AQS","240050009","4","25.4","ppb","24","Baltimore County Near Road","24","100.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.371679","-76.746814"
"03/26/2022","AQS","240050009","4","16.5","ppb","15","Baltimore County Near Road","24","100.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.371679","-76.746814"
"03/27/2022","AQS","240050009","4","5.8","ppb","5","Baltimore County Near Road","24","100.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.371679","-76.746814"
"03/28/2022","AQS","240050009","4","25","ppb","24","Baltimore County Near Road","24","100.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.371679","-76.746814"
"03/29/2022","AQS","240050009","4","39.1","ppb","37","Baltimore County Near Road","23","96.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.371679","-76.746814"
"03/30/2022","AQS","240050009","4","36.4","ppb","34","Baltimore County Near Road","24","100.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.371679","-76.746814"
"03/31/2022","AQS","240050009","4","21.5","ppb","20","Baltimore County Near Road","24","100.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.371679","-76.746814"
"04/01/2022","AQS","240050009","4","15.3","ppb","14","Baltimore County Near Road","24","100.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.371679","-76.746814"
"04/02/2022","AQS","240050009","4","22.9","ppb","21","Baltimore County Near Road","24","100.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.371679","-76.746814"
"04/03/2022","AQS","240050009","4","19.5","ppb","18","Baltimore County Near Road","24","100.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","005","Baltimore","39.371679","-76.746814"
